t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,29988,3268608,660,192,872,1110,VD
0.031,29989,3268628,648,220,832,1077,V
0.047,29990,3268650,656,132,756,1010,V
0.063,29991,3268670,648,116,788,1027,V
0.078,29992,3268689,624,140,792,1018,V
0.094,29993,3268710,636,128,784,1018,V
0.125,29994,3268730,680,180,800,1065,V
0.172,29995,3268751,696,216,788,1073,V
0.172,29996,3268770,720,224,744,1059,V
0.188,29997,3268791,744,216,716,1055,V
0.203,29998,3268811,732,208,700,1034,V
0.219,29999,3268831,728,248,668,1019,V
0.250,30000,3268852,716,224,720,1040,V
0.281,30001,3268872,700,216,744,1044,V
0.281,30002,3268892,728,188,728,1047,V
0.313,30003,3268913,736,192,696,1031,V
0.328,30004,3268933,712,212,692,1015,V
0.360,30005,3268953,732,216,704,1038,V
0.360,30006,3268973,744,212,720,1057,V
0.406,30007,3268994,672,260,688,996,V
0.422,30008,3269015,692,244,672,995,V
0.422,30009,3269034,672,260,692,999,V
0.438,30010,3269055,716,268,704,1039,V
0.469,30011,3269076,712,280,672,1018,V
0.485,30012,3269095,784,140,664,1037,V
0.516,30013,3269115,920,-212,648,1145,V
0.531,30014,3269136,952,-916,860,1576,V
0.547,30015,3269156,1256,-2296,1288,2917,V
0.547,30016,3269176,1300,-3100,1824,3825,V
0.594,30017,3269198,1260,-3844,1668,4376,V
0.641,30018,3269217,1272,-4036,-100,4233,V
0.641,30019,3269237,1156,-2424,-424,2719,V
0.656,30020,3269257,960,-528,-176,1110,V
0.656,30021,3269278,848,800,288,1201,V
0.703,30022,3269298,536,1792,-288,1892,V
0.719,30023,3269318,876,2216,748,2498,V
0.735,30024,3269339,1008,1956,1312,2562,V
0.766,30025,3269360,1256,2988,348,3260,V
0.766,30026,3269379,1268,2372,1764,3217,V
0.781,30027,3269399,1160,1528,1668,2542,V
0.813,30028,3269420,780,1292,1252,1961,V
0.828,30029,3269440,708,1372,360,1585,V
0.844,30030,3269460,932,1356,124,1650,V
0.875,30031,3269481,1072,972,1420,2027,V
0.906,30032,3269502,692,800,908,1394,V
0.906,30033,3269521,696,248,444,862,V
0.922,30034,3269541,544,-52,492,735,V
0.953,30035,3269562,688,-80,868,1110,V
0.969,30036,3269582,720,-36,896,1150,V
1.000,30037,3269602,816,80,1016,1306,V
1.016,30038,3269623,776,0,908,1194,V
1.047,30039,3269643,716,-164,772,1066,V
1.047,30040,3269663,732,-192,748,1064,V
1.078,30041,3269683,728,-60,696,1009,V
1.110,30042,3269705,708,40,712,1005,V
1.110,30043,3269724,692,92,692,983,V
1.141,30044,3269744,716,224,664,1002,V
1.172,30045,3269765,688,216,832,1101,V
1.172,30046,3269785,636,248,776,1034,V
1.188,30047,3269805,696,284,760,1069,V
1.250,30048,3269826,600,256,792,1026,V
1.250,30049,3269846,572,264,912,1108,V
1.250,30050,3269866,544,248,364,700,V
1.281,30051,3269886,564,224,784,991,V
1.313,30052,3269907,620,288,712,987,V
1.313,30053,3269927,616,324,740,1016,V
1.344,30054,3269947,672,316,792,1086,V
1.375,30055,3269968,684,236,884,1142,V
1.375,30056,3269988,648,208,872,1106,V
1.406,30057,3270008,636,240,716,987,V
1.438,30058,3270028,636,212,636,924,V
1.438,30059,3270050,656,252,900,1142,V
1.469,30060,3270069,664,220,928,1162,V
1.485,30061,3270089,620,252,908,1128,V
1.516,30062,3270111,600,240,884,1095,V
1.516,30063,3270130,584,232,716,953,V
1.547,30064,3270150,572,276,920,1118,V
1.578,30065,3270171,608,376,860,1118,V
1.578,30066,3270191,576,412,864,1117,V
1.594,30067,3270211,564,384,796,1048,V
1.641,30068,3270231,556,408,784,1044,V
1.641,30069,3270252,572,384,768,1032,V
1.656,30070,3270272,580,352,748,1010,V
1.703,30071,3270292,600,360,708,995,V
1.703,30072,3270312,628,372,724,1028,V
1.719,30073,3270333,652,384,732,1053,V
1.766,30074,3270353,688,444,760,1117,V
1.766,30075,3270373,720,424,784,1146,V
1.781,30076,3270394,692,440,848,1180,V
1.828,30077,3270414,680,472,868,1199,V
1.828,30078,3270434,664,400,892,1182,V
1.860,30079,3270454,588,316,792,1036,V
1.891,30080,3270475,544,272,784,992,V
1.891,30081,3270495,532,192,868,1036,V
1.922,30082,3270515,592,224,900,1100,V
1.938,30083,3270536,596,268,836,1061,V
1.938,30084,3270556,576,300,716,967,V
1.969,30085,3270576,604,216,728,970,V
2.000,30086,3270598,612,196,768,1001,V
2.000,30087,3270617,628,140,880,1090,V
2.063,30088,3270637,664,128,740,1002,V
2.063,30089,3270657,628,192,684,948,V
2.063,30090,3270678,660,180,752,1017,V
2.188,30091,3270699,696,136,748,1031,V
2.188,30092,3270718,692,132,852,1106,V
2.188,30093,3270740,704,64,804,1071,V
2.188,30094,3270759,672,108,584,897,V
2.188,30095,3270779,688,140,592,918,V
2.188,30096,3270800,704,152,740,1033,V
2.235,30097,3270820,680,136,868,1111,V
2.235,30098,3270840,660,24,796,1034,V
2.297,30099,3270861,660,44,684,952,V
2.297,30100,3270881,712,72,652,968,V
2.313,30101,3270901,724,124,736,1040,V
2.328,30102,3270922,708,132,816,1088,V
2.328,30103,3270941,672,56,728,992,V
2.360,30104,3270962,680,24,716,988,V
2.422,30105,3270982,724,64,692,1004,V
2.422,30106,3271003,736,120,724,1039,V
2.422,30107,3271023,752,84,640,991,V
2.453,30108,3271044,744,140,596,964,V
2.453,30109,3271063,732,124,688,1012,V
2.485,30110,3271083,792,56,716,1069,V
2.547,30111,3271104,812,80,708,1080,V
2.547,30112,3271124,804,96,728,1089,V
2.547,30113,3271144,848,80,664,1080,V
2.563,30114,3271165,788,100,608,1000,V
2.563,30115,3271185,788,68,564,971,V
2.610,30116,3271205,776,88,644,1012,V
2.656,30117,3271225,804,92,736,1094,V
2.656,30118,3271246,792,64,688,1051,V
2.656,30119,3271266,836,36,604,1032,V
2.688,30120,3271286,804,100,564,987,V
2.688,30121,3271307,856,80,560,1026,V
2.719,30122,3271327,840,144,716,1113,V
2.781,30123,3271347,832,124,652,1064,V
2.781,30124,3271367,844,44,636,1058,V
2.781,30125,3271388,840,56,688,1087,V
2.813,30126,3271408,816,96,712,1087,V
2.813,30127,3271428,860,100,744,1142,V
2.844,30128,3271450,856,112,716,1122,V
2.906,30129,3271469,840,132,628,1057,V
2.906,30130,3271490,828,128,688,1084,V
2.906,30131,3271509,796,80,704,1066,V
2.938,30132,3271530,772,8,684,1031,V
2.969,30133,3271551,808,-84,668,1052,V
2.969,30134,3271570,856,-296,676,1130,V
3.031,30135,3271591,1008,-764,684,1438,V
3.031,30136,3271611,1244,-1608,1032,2280,V
3.031,30137,3271631,1356,-2340,1836,3269,V
3.047,30138,3271652,1628,-3400,1692,4132,V
3.078,30139,3271672,1708,-4264,460,4616,V
3.078,30140,3271692,1372,-3716,-612,4008,V
3.141,30141,3271712,976,-1848,-436,2135,V
3.141,30142,3271733,428,-268,-48,507,V
3.141,30143,3271754,-32,1064,348,1120,V
3.172,30144,3271773,648,1404,272,1570,V
3.203,30145,3271794,976,3008,824,3268,V
3.203,30146,3271814,792,3548,1044,3782,V
3.219,30147,3271834,584,2748,2164,3546,V
3.266,30148,3271854,396,1948,2132,2915,V
3.266,30149,3271875,368,1720,1724,2463,V
3.281,30150,3271895,740,1752,1264,2284,V
3.328,30151,3271915,1124,1848,112,2166,V
3.328,30152,3271936,1056,876,1556,2075,V
3.360,30153,3271956,1132,192,-2744,2975,V
3.391,30154,3271976,600,636,-48,876,V
3.391,30155,3271996,756,144,764,1084,V
3.422,30156,3272017,580,-84,372,694,V
3.438,30157,3272037,588,-196,1044,1214,V
3.438,30158,3272057,500,-304,800,991,V
3.469,30159,3272078,560,-284,904,1101,V
3.500,30160,3272098,628,-240,884,1111,V
3.500,30161,3272118,720,-120,600,945,V
3.531,30162,3272138,836,-152,796,1164,V
3.594,30163,3272159,836,-20,824,1174,V
3.594,30164,3272180,804,32,872,1187,V
3.594,30165,3272199,780,160,732,1082,V
3.625,30166,3272220,696,100,664,967,V
3.656,30167,3272241,724,56,860,1126,V
3.656,30168,3272260,716,144,820,1098,V
3.672,30169,3272280,600,244,828,1051,V
3.735,30170,3272301,620,272,748,1009,V
3.735,30171,3272321,564,248,860,1058,V
3.735,30172,3272341,600,240,876,1089,V
3.766,30173,3272362,472,284,820,988,V
3.781,30174,3272382,564,224,988,1159,V
3.828,30175,3272402,616,280,808,1054,V
3.828,30176,3272423,620,248,748,1003,V
3.828,30177,3272443,604,164,664,912,V
3.860,30178,3272463,604,240,788,1021,V
3.891,30179,3272483,436,24,240,498,V
3.891,30180,3272504,624,352,900,1150,V
3.953,30181,3272524,652,192,908,1134,V
3.953,30182,3272544,592,180,676,916,V
3.953,30183,3272565,616,180,816,1038,V
3.985,30184,3272585,640,220,780,1033,V
4.016,30185,3272605,600,192,1080,1250,V
4.016,30186,3272625,624,244,728,989,V
4.078,30187,3272646,596,244,752,990,V
4.078,30188,3272666,584,236,748,978,V
4.078,30189,3272686,576,324,816,1050,V
4.110,30190,3272707,608,292,884,1112,V
4.141,30191,3272727,624,252,936,1153,V
4.141,30192,3272747,600,220,804,1027,V
4.188,30193,3272767,620,228,828,1059,V
4.188,30194,3272788,616,288,768,1026,V
4.188,30195,3272808,616,296,840,1083,V
4.219,30196,3272828,608,332,920,1152,V
4.250,30197,3272849,568,344,876,1099,V
4.328,30198,3272870,564,352,848,1078,V
4.328,30199,3272889,592,292,816,1050,V
4.328,30200,3272909,584,372,844,1092,V
4.328,30201,3272930,576,352,804,1050,V
4.328,30202,3272951,588,340,856,1093,V
4.375,30203,3272970,644,324,912,1163,V
4.469,30204,3272992,560,408,872,1114,V
4.500,30205,3273011,548,352,736,983,V
