t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,34881,3367884,-156,-60,1040,1053,VD
0.016,34882,3367904,-156,-96,996,1013,V
0.047,34883,3367924,-164,-156,1068,1092,V
0.063,34884,3367946,-148,-108,1048,1064,V
0.063,34885,3367965,-136,-132,1024,1041,V
0.110,34886,3367985,-156,-108,980,998,V
0.125,34887,3368006,-140,-104,1056,1070,V
0.141,34888,3368026,-148,-132,1060,1078,V
0.172,34889,3368046,-148,-120,1036,1053,V
0.188,34890,3368067,-144,-124,1040,1057,V
0.204,34891,3368087,-120,-116,1040,1053,V
0.219,34892,3368107,-144,-84,1012,1026,V
0.250,34893,3368127,-132,-112,1032,1046,V
0.250,34894,3368148,-136,-116,1040,1055,V
0.282,34895,3368168,-152,-124,1072,1090,V
0.297,34896,3368188,-160,-140,1060,1081,V
0.344,34897,3368209,-148,-136,1036,1055,V
0.344,34898,3368229,-156,-156,1108,1130,V
0.360,34899,3368249,-160,-164,1076,1100,V
0.391,34900,3368269,-160,-136,1116,1136,V
0.422,34901,3368290,-128,-144,1248,1263,V
0.422,34902,3368310,-216,-120,1640,1659,V
0.469,34903,3368330,-12,-104,1720,1723,V
0.469,34904,3368351,296,280,1816,1861,V
0.485,34905,3368371,744,532,2368,2539,V
0.516,34906,3368391,784,364,2908,3034,V
0.516,34907,3368411,600,140,2104,2192,V
0.547,34908,3368432,204,176,704,754,V
0.579,34909,3368452,-84,32,-316,329,V
0.579,34910,3368472,-404,80,-732,840,V
0.610,34911,3368493,-284,-160,-1568,1602,V
0.625,34912,3368513,-416,-76,-924,1016,V
0.641,34913,3368533,-388,-224,-1440,1508,V
0.657,34914,3368553,-364,-132,-964,1039,V
0.704,34915,3368574,-400,88,-1056,1133,V
0.704,34916,3368594,-340,292,-532,696,V
0.735,34917,3368614,-296,428,-552,759,V
0.750,34918,3368635,-216,572,-136,626,V
0.766,34919,3368655,-200,568,-560,822,V
0.829,34920,3368675,-268,336,-888,987,V
0.844,34921,3368695,-412,36,-692,806,V
0.844,34922,3368716,-268,-368,-588,744,V
0.860,34923,3368737,420,-948,160,1049,V
0.875,34924,3368756,276,-2016,972,2255,V
0.891,34925,3368777,-884,-1780,5004,5384,V
0.938,34926,3368797,-292,-2716,488,2775,V
0.938,34927,3368817,12,-792,2492,2615,V
0.969,34928,3368838,664,332,1960,2096,V
0.969,34929,3368858,548,1160,1060,1664,V
1.000,34930,3368878,260,1336,1120,1763,V
1.016,34931,3368898,224,244,860,922,V
1.032,34932,3368919,100,-352,984,1050,V
1.047,34933,3368939,-116,-204,1072,1097,V
1.079,34934,3368959,-204,-336,1572,1620,V
1.094,34935,3368980,-304,-88,1100,1145,V
1.110,34936,3369000,-144,-308,1388,1429,V
1.141,34937,3369020,-136,-124,1252,1265,V
1.172,34938,3369040,-92,-164,1304,1317,V
1.172,34939,3369061,-96,-192,1088,1109,V
1.204,34940,3369081,-68,-160,1076,1090,V
1.235,34941,3369101,-156,-236,1080,1116,V
1.235,34942,3369122,-84,-176,1172,1188,V
1.266,34943,3369142,-64,-196,1000,1021,V
1.297,34944,3369162,-8,-156,1072,1083,V
1.297,34945,3369182,-32,-136,1020,1030,V
1.329,34946,3369203,-72,-92,972,979,V
1.360,34947,3369223,-44,-116,1016,1024,V
1.360,34948,3369243,-48,-112,960,968,V
1.375,34949,3369264,-36,-124,1132,1139,V
1.407,34950,3369284,-16,-160,1040,1052,V
1.469,34951,3369304,-48,-120,1032,1040,V
1.469,34952,3369324,-24,-52,996,998,V
1.469,34953,3369345,0,-56,1124,1125,V
1.469,34954,3369365,16,-116,1092,1098,V
1.532,34955,3369385,-8,-104,956,962,V
1.532,34956,3369406,-20,-60,1024,1026,V
1.563,34957,3369427,-32,-68,1024,1027,V
1.563,34958,3369446,-12,-128,1052,1060,V
1.594,34959,3369466,-40,-64,1072,1075,V
1.657,34960,3369487,4,-80,1096,1099,V
1.657,34961,3369507,-36,-88,1024,1028,V
1.657,34962,3369527,-20,-104,1064,1069,V
1.688,34963,3369548,-12,-80,1068,1071,V
1.688,34964,3369568,-40,-88,1056,1060,V
