t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,44415,3561319,184,-424,1928,1983,VD
0.000,44416,3561340,40,-564,1572,1671,V
0.000,44417,3561360,-384,-348,1280,1381,V
0.015,44418,3561380,-592,-468,1192,1411,V
0.031,44419,3561401,-464,-604,1312,1517,V
0.062,44420,3561421,-400,-344,1328,1429,V
0.078,44421,3561441,-340,-68,1136,1188,V
0.094,44422,3561461,-404,80,964,1048,V
0.125,44423,3561482,-396,-4,944,1024,V
0.156,44424,3561502,-340,-108,1024,1084,V
0.172,44425,3561522,-296,-80,1108,1150,V
0.187,44426,3561543,-408,-12,1128,1200,V
0.203,44427,3561563,-440,-188,1040,1145,V
0.234,44428,3561583,-312,-308,1084,1169,V
0.250,44429,3561603,-140,-132,1220,1235,V
0.265,44430,3561624,-220,76,1176,1199,V
0.297,44431,3561644,-248,-24,984,1015,V
0.297,44432,3561664,-200,-136,1032,1060,V
0.328,44433,3561685,-96,-96,1072,1081,V
0.344,44434,3561706,-100,36,1096,1101,V
0.359,44435,3561725,-124,40,1020,1028,V
0.390,44436,3561745,-120,-72,1032,1041,V
0.406,44437,3561767,-36,-132,1068,1077,V
0.437,44438,3561786,-40,20,1004,1005,V
0.515,44439,3561806,-52,68,1000,1004,V
0.515,44440,3561827,-20,24,1032,1032,V
0.515,44441,3561847,12,-56,1012,1014,V
0.515,44442,3561867,4,-68,1028,1030,V
0.531,44443,3561888,20,16,1044,1044,V
0.547,44444,3561908,12,-44,1052,1053,V
0.578,44445,3561928,0,-120,992,999,V
0.594,44446,3561948,20,-132,1064,1072,V
0.609,44447,3561969,44,-80,1044,1048,V
0.625,44448,3561989,8,-20,996,996,V
0.656,44449,3562009,4,-20,1068,1068,V
0.672,44450,3562030,76,-176,1072,1089,V
0.703,44451,3562050,76,-152,1088,1101,V
0.719,44452,3562070,64,-24,1092,1094,V
0.750,44453,3562090,28,-4,1064,1064,V
0.765,44454,3562111,8,-76,1068,1071,V
0.781,44455,3562131,44,-104,1120,1126,V
