t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,40660,3485134,788,760,204,1114,VD
0.000,40661,3485155,876,840,236,1236,V
0.000,40662,3485175,952,888,228,1322,V
0.031,40663,3485195,1000,936,224,1388,V
0.047,40664,3485215,1040,1020,200,1470,V
0.078,40665,3485236,1064,1052,152,1504,V
0.125,40666,3485256,1032,1088,204,1513,V
0.125,40667,3485276,1008,1060,276,1489,V
0.140,40668,3485297,956,1004,192,1400,V
0.156,40669,3485317,896,1000,296,1375,V
0.172,40670,3485337,816,920,332,1274,V
0.203,40671,3485357,776,860,236,1182,V
0.234,40672,3485378,728,880,256,1170,V
0.234,40673,3485398,696,892,216,1152,V
0.281,40674,3485418,616,920,172,1120,V
0.281,40675,3485439,560,956,108,1113,V
0.312,40676,3485460,560,988,144,1145,V
0.359,40677,3485479,468,968,72,1078,V
0.359,40678,3485499,352,944,116,1014,V
0.359,40679,3485520,312,896,128,957,V
0.375,40680,3485540,196,900,116,928,V
0.390,40681,3485560,180,936,92,958,V
0.422,40682,3485581,128,992,176,1016,V
0.437,40683,3485601,64,992,88,998,V
0.468,40684,3485621,60,1008,24,1010,V
0.484,40685,3485643,32,1120,60,1122,V
0.500,40686,3485662,12,1124,140,1133,V
0.515,40687,3485682,-32,1084,108,1090,V
0.562,40688,3485702,-96,1008,60,1014,V
0.562,40689,3485723,-180,928,108,951,V
0.578,40690,3485743,-232,816,68,851,V
0.609,40691,3485763,-268,740,56,789,V
0.625,40692,3485783,-328,616,40,699,V
0.640,40693,3485805,-436,448,-52,627,V
0.672,40694,3485824,-500,136,12,518,V
0.687,40695,3485844,-668,-356,48,758,V
0.718,40696,3485866,-1088,-1592,12,1928,V
0.718,40697,3485885,-1388,-3496,508,3796,V
0.734,40698,3485905,-1752,-5016,1220,5451,V
0.765,40699,3485925,-1836,-6144,1240,6531,V
0.812,40700,3485946,-788,-6760,284,6812,V
0.812,40701,3485966,1576,-6104,148,6306,V
0.812,40702,3485986,4908,-3400,1380,6128,V
0.843,40703,3486007,8000,968,3672,8856,VS
0.859,40704,3486027,8000,4604,4148,10119,VS
0.890,40705,3486047,7412,4564,2936,9186,V
0.906,40706,3486067,-2596,6360,448,6884,V
0.937,40707,3486088,3316,2220,-360,4007,V
0.953,40708,3486108,724,1832,-2004,2810,V
0.984,40709,3486128,652,1284,452,1509,V
0.984,40710,3486150,52,152,-680,699,V
1.015,40711,3486169,-48,24,872,874,V
1.031,40712,3486189,-80,64,608,617,V
1.062,40713,3486210,8,264,636,689,V
1.062,40714,3486231,92,428,468,641,V
1.078,40715,3486250,272,504,248,624,V
1.109,40716,3486271,376,720,292,863,V
1.125,40717,3486291,432,832,252,971,V
1.140,40718,3486312,480,872,232,1022,V
1.172,40719,3486331,384,920,40,998,V
1.203,40720,3486352,424,872,124,978,V
1.203,40721,3486372,492,852,112,990,V
1.234,40722,3486392,592,932,232,1128,V
1.250,40723,3486412,612,960,248,1165,V
1.250,40724,3486433,628,868,332,1122,V
1.297,40725,3486453,588,896,284,1109,V
1.312,40726,3486473,604,940,256,1146,V
1.312,40727,3486495,576,936,232,1123,V
1.375,40728,3486514,612,964,236,1166,V
1.375,40729,3486534,580,908,296,1117,V
1.375,40730,3486555,524,820,364,1039,V
1.422,40731,3486575,528,784,368,1014,V
1.437,40732,3486595,532,816,308,1022,V
1.468,40733,3486615,516,808,308,1007,V
1.468,40734,3486636,500,764,268,952,V
1.500,40735,3486656,540,788,312,1005,V
1.531,40736,3486677,576,768,292,1003,V
1.531,40737,3486696,568,852,276,1061,V
1.562,40738,3486717,564,880,236,1072,V
1.593,40739,3486737,584,844,208,1047,V
1.593,40740,3486757,596,860,264,1079,V
1.625,40741,3486778,568,848,276,1057,V
1.656,40742,3486798,576,800,292,1028,V
1.656,40743,3486818,588,844,232,1054,V
1.687,40744,3486838,584,868,280,1083,V
1.718,40745,3486859,616,856,292,1094,V
1.718,40746,3486879,592,820,260,1044,V
1.781,40747,3486899,628,856,236,1088,V
1.781,40748,3486920,636,916,224,1137,V
1.781,40749,3486940,708,996,276,1253,V
1.812,40750,3486960,736,1020,216,1276,V
1.843,40751,3486981,792,1040,232,1328,V
1.843,40752,3487001,840,1108,240,1411,V
1.890,40753,3487021,924,1200,212,1529,V
1.890,40754,3487041,912,1228,248,1550,V
1.890,40755,3487062,940,1220,304,1570,V
1.922,40756,3487082,888,1192,264,1510,V
1.953,40757,3487102,876,1192,212,1494,V
1.953,40758,3487123,836,1208,232,1487,V
2.047,40759,3487143,784,1148,248,1412,V
2.047,40760,3487163,728,1120,216,1353,V
2.047,40761,3487183,656,1088,208,1287,V
2.047,40762,3487204,588,1004,204,1181,V
2.078,40763,3487224,484,976,192,1106,V
2.078,40764,3487245,396,944,216,1046,V
2.140,40765,3487265,304,892,112,949,V
2.140,40766,3487285,216,852,72,882,V
2.140,40767,3487306,172,852,72,872,V
2.156,40768,3487325,112,884,44,892,V
2.187,40769,3487346,40,876,12,877,V
2.250,40770,3487367,-28,796,0,796,V
2.250,40771,3487386,-116,724,36,734,V
2.250,40772,3487407,-192,656,132,696,V
2.281,40773,3487428,-324,628,108,715,V
2.281,40774,3487447,-392,604,88,725,V
2.297,40775,3487467,-420,660,96,788,V
2.359,40776,3487488,-424,688,36,809,V
2.359,40777,3487508,-372,732,-64,824,V
2.359,40778,3487528,-364,764,-112,854,V
2.406,40779,3487549,-348,596,-196,717,V
2.406,40780,3487569,-416,444,-76,613,V
2.437,40781,3487589,-484,76,-40,492,V
2.484,40782,3487609,-700,-588,20,914,V
2.484,40783,3487630,-1128,-1956,188,2266,V
2.500,40784,3487650,-1776,-3648,984,4175,V
2.531,40785,3487670,-2136,-4720,1288,5339,V
2.531,40786,3487691,-1840,-5352,824,5719,V
2.562,40787,3487711,-896,-5676,40,5746,V
2.609,40788,3487731,1092,-5160,-168,5277,V
2.640,40789,3487752,3776,-2868,260,4749,V
2.656,40790,3487772,7288,756,1868,7561,V
2.656,40791,3487792,8000,4532,3252,9753,VS
2.656,40792,3487812,6756,5352,2148,8883,V
2.672,40793,3487833,3504,4072,200,5376,V
2.734,40794,3487853,1220,2332,-584,2696,V
2.734,40795,3487873,320,1592,-264,1645,V
2.734,40796,3487894,432,900,-328,1051,V
2.765,40797,3487914,332,556,-156,666,V
2.765,40798,3487935,388,536,416,782,V
2.797,40799,3487954,356,708,140,805,V
2.859,40800,3487975,492,920,208,1064,V
2.859,40801,3487995,608,1056,60,1220,V
2.859,40802,3488015,700,1068,264,1304,V
2.890,40803,3488036,788,912,292,1240,V
2.906,40804,3488057,756,852,396,1206,V
2.906,40805,3488076,668,720,476,1091,V
2.984,40806,3488096,572,680,356,957,V
2.984,40807,3488117,480,712,136,869,V
2.984,40808,3488137,492,752,-24,899,V
3.000,40809,3488157,604,836,196,1050,V
3.031,40810,3488178,688,796,156,1064,V
3.031,40811,3488198,712,808,200,1095,V
3.093,40812,3488218,684,836,224,1103,V
3.125,40813,3488238,624,808,208,1042,V
3.125,40814,3488259,728,804,240,1111,V
3.125,40815,3488279,756,924,236,1217,V
3.156,40816,3488299,1660,668,-292,1813,V
3.156,40817,3488320,716,688,220,1017,V
3.187,40818,3488340,592,744,76,954,V
3.218,40819,3488360,648,756,252,1027,V
3.218,40820,3488381,672,752,128,1017,V
3.234,40821,3488401,692,808,116,1070,V
3.281,40822,3488421,648,756,232,1022,V
3.281,40823,3488441,656,680,228,972,V
3.312,40824,3488462,616,752,168,987,V
3.359,40825,3488482,672,788,216,1058,V
3.359,40826,3488502,704,820,200,1099,V
3.359,40827,3488523,668,800,168,1056,V
3.422,40828,3488543,652,796,184,1045,V
3.422,40829,3488563,640,788,200,1035,V
3.422,40830,3488583,680,812,196,1077,V
3.453,40831,3488604,696,800,164,1073,V
3.453,40832,3488625,664,764,220,1036,V
3.484,40833,3488644,644,756,160,1006,V
3.515,40834,3488665,620,796,160,1022,V
3.547,40835,3488686,636,764,188,1012,V
