t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,3468,2730547,-8,364,1004,1068,VD
0.031,3469,2730566,-84,292,996,1041,V
0.031,3470,2730587,-68,204,1040,1062,V
0.078,3471,2730607,-44,244,1112,1139,V
0.094,3472,2730627,-88,256,1040,1075,V
0.094,3473,2730647,-72,220,1120,1144,V
0.125,3474,2730667,-96,212,1100,1124,V
0.141,3475,2730688,-68,284,1112,1150,V
0.141,3476,2730708,-52,316,1076,1123,V
0.188,3477,2730728,-108,308,992,1044,V
0.188,3478,2730749,-100,272,972,1014,V
0.219,3479,2730769,-80,248,908,945,V
0.234,3480,2730789,-84,284,872,921,V
0.250,3481,2730809,-72,300,828,884,V
0.281,3482,2730830,-84,284,824,876,V
0.313,3483,2730850,-64,284,844,893,V
0.328,3484,2730870,-4,328,872,932,V
0.328,3485,2730892,20,368,892,965,V
0.359,3486,2730911,-8,352,856,926,V
0.375,3487,2730931,-56,288,836,886,V
0.406,3488,2730951,-76,216,800,832,V
0.438,3489,2730972,-116,204,688,727,V
0.438,3490,2730992,-116,208,580,627,V
0.469,3491,2731012,-184,192,404,484,V
0.469,3492,2731033,-228,36,108,255,V
0.500,3493,2731053,-304,-156,-156,376,V
0.531,3494,2731073,-392,-296,-436,657,V
0.547,3495,2731094,-44,-152,1564,1572,V
0.547,3496,2731114,-296,-316,-200,477,V
0.563,3497,2731135,-112,-128,256,307,V
0.594,3498,2731154,-152,-352,1396,1448,V
0.625,3499,2731175,-68,-24,900,903,V
0.672,3500,2731195,20,68,1484,1486,V
0.672,3501,2731215,4,308,1552,1582,V
0.688,3502,2731237,-72,196,1828,1840,V
0.703,3503,2731256,44,-140,2232,2237,V
0.719,3504,2731276,80,112,2832,2835,V
0.750,3505,2731296,28,-220,2128,2140,V
0.797,3506,2731317,32,-360,2368,2395,V
0.797,3507,2731337,52,-364,1976,2010,V
0.797,3508,2731357,72,-276,2412,2429,V
0.828,3509,2731378,144,-140,2056,2066,V
0.844,3510,2731398,152,-52,1612,1620,V
0.875,3511,2731418,60,8,1104,1106,V
0.906,3512,2731439,40,0,808,809,V
0.906,3513,2731459,52,32,804,806,V
0.922,3514,2731479,68,-16,956,959,V
0.938,3515,2731499,60,-108,852,861,V
0.969,3516,2731520,52,-36,888,890,V
0.984,3517,2731540,40,8,1104,1105,V
1.000,3518,2731560,52,-108,1076,1083,V
1.031,3519,2731580,52,-132,1012,1022,V
1.047,3520,2731601,28,-48,1076,1077,V
1.047,3521,2731621,44,-52,1080,1082,V
1.094,3522,2731641,48,-76,1072,1076,V
1.109,3523,2731662,72,-96,1048,1055,V
1.125,3524,2731682,24,-48,1088,1089,V
1.141,3525,2731702,48,-76,1152,1156,V
1.188,3526,2731723,76,-100,1096,1103,V
1.188,3527,2731743,-4,-28,1084,1084,V
1.203,3528,2731763,-12,-44,1044,1045,V
1.281,3529,2731783,24,-76,1068,1071,V
1.281,3530,2731804,16,-40,1024,1025,V
1.281,3531,2731824,-40,-4,996,997,V
1.313,3532,2731844,4,-20,1060,1060,V
1.328,3533,2731865,20,-12,1040,1040,V
1.328,3534,2731886,32,-36,1044,1045,V
1.391,3535,2731905,36,-4,1112,1113,V
1.391,3536,2731925,36,-56,1096,1098,V
1.391,3537,2731946,0,-72,1036,1038,V
1.422,3538,2731966,-8,-52,1028,1029,V
1.453,3539,2731987,-4,-48,1044,1045,V
1.453,3540,2732007,-16,-52,1044,1045,V
1.500,3541,2732027,4,-84,1020,1023,V
1.500,3542,2732047,-4,-64,1040,1042,V
1.500,3543,2732067,36,-16,1108,1109,V
1.547,3544,2732088,4,-60,1084,1086,V
1.578,3545,2732108,28,-60,1188,1190,V
1.578,3546,2732128,28,-48,1100,1101,V
1.641,3547,2732149,20,-48,1080,1081,V
1.641,3548,2732169,44,-12,1048,1049,V
1.641,3549,2732190,28,-36,1044,1045,V
1.672,3550,2732210,24,-28,1064,1065,V
1.688,3551,2732230,24,-44,1020,1021,V
1.688,3552,2732250,0,-40,1052,1053,V
1.750,3553,2732270,-4,-80,1040,1043,V
1.750,3554,2732291,4,-88,988,992,V
1.750,3555,2732311,-12,-36,1032,1033,V
1.766,3556,2732331,24,-52,1108,1109,V
1.813,3557,2732352,36,-32,1068,1069,V
1.813,3558,2732372,20,-8,1036,1036,V
1.875,3559,2732392,32,-56,1036,1038,V
1.875,3560,2732412,8,-36,1028,1029,V
1.875,3561,2732433,32,-40,1076,1077,V
1.906,3562,2732453,4,-60,1036,1038,V
1.938,3563,2732473,0,-40,1016,1017,V
1.938,3564,2732494,4,-60,1092,1094,V
1.969,3565,2732514,24,-32,1116,1117,V
2.000,3566,2732535,48,-60,1048,1051,V
2.000,3567,2732554,300,-8,1696,1722,V
2.063,3568,2732575,444,-4,2184,2229,V
2.063,3569,2732595,488,-260,3340,3385,V
2.078,3570,2732615,480,-148,3928,3960,V
2.078,3571,2732637,292,-856,3980,4081,V
2.109,3572,2732656,4,-1400,3692,3949,V
2.141,3573,2732677,-136,-1572,3240,3604,V
2.141,3574,2732696,-160,-892,2048,2240,V
2.172,3575,2732717,-4,-276,640,697,V
2.203,3576,2732737,64,112,-924,933,V
2.203,3577,2732757,-48,88,-1492,1495,V
2.234,3578,2732778,12,-16,-2864,2864,V
2.266,3579,2732798,-80,-224,-912,943,V
2.266,3580,2732818,16,84,-268,281,V
2.297,3581,2732838,-116,56,52,139,V
2.391,3582,2732859,-200,-240,352,471,V
2.391,3583,2732879,-204,-264,340,476,V
2.391,3584,2732899,-168,4,272,320,V
2.391,3585,2732920,-200,324,312,492,V
2.391,3586,2732941,-380,328,312,591,V
2.422,3587,2732960,-268,220,-644,731,V
2.438,3588,2732981,-68,308,840,897,V
2.438,3589,2733001,28,448,852,963,V
2.500,3590,2733021,-20,628,812,1027,V
2.500,3591,2733041,8,388,788,878,V
2.500,3592,2733062,36,344,888,953,V
2.547,3593,2733082,-48,340,864,930,V
2.547,3594,2733102,-52,352,928,994,V
2.547,3595,2733123,-84,336,864,931,V
2.594,3596,2733143,-64,328,880,941,V
2.625,3597,2733163,-44,288,1028,1068,V
2.625,3598,2733183,-112,356,976,1045,V
2.688,3599,2733204,-108,256,1092,1127,V
2.688,3600,2733224,-48,288,948,992,V
2.688,3601,2733244,-20,96,-1776,1779,V
2.719,3602,2733265,-56,336,1072,1125,V
2.750,3603,2733285,-276,324,-144,449,V
