t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,36772,3406251,4484,-5308,2436,7363,VD
0.031,36773,3406271,6036,-3196,2908,7423,V
0.078,36774,3406292,5308,-1588,2816,6215,V
0.078,36775,3406313,4552,-1032,2884,5487,V
0.094,36776,3406332,3740,344,2472,4496,V
0.125,36777,3406352,2368,244,1928,3063,V
0.125,36778,3406373,1528,-340,208,1579,V
0.140,36779,3406393,1212,-788,1552,2121,V
0.203,36780,3406413,1032,-632,1084,1625,V
0.203,36781,3406434,900,-380,600,1146,V
0.203,36782,3406454,948,-112,820,1258,V
0.234,36783,3406474,648,176,764,1017,V
0.250,36784,3406494,648,208,704,979,V
0.265,36785,3406515,696,272,668,1002,V
0.312,36786,3406536,536,516,872,1146,V
0.312,36787,3406555,480,392,864,1063,V
0.344,36788,3406577,396,364,944,1086,V
0.359,36789,3406596,308,232,1012,1083,V
0.375,36790,3406616,336,192,1148,1211,V
0.406,36791,3406637,200,228,904,954,V
0.422,36792,3406657,152,88,968,984,V
0.422,36793,3406677,204,-4,948,970,V
0.469,36794,3406697,216,16,1032,1054,V
0.484,36795,3406718,288,-52,1196,1231,V
0.484,36796,3406738,248,16,1216,1241,V
0.515,36797,3406758,368,-24,1124,1183,V
0.547,36798,3406779,256,-60,1076,1108,V
0.547,36799,3406799,320,-64,1176,1220,V
0.578,36800,3406819,268,-32,1216,1246,V
0.594,36801,3406840,124,-84,960,972,V
0.609,36802,3406860,168,-112,1088,1107,V
0.640,36803,3406880,72,-100,1136,1143,V
0.672,36804,3406900,-24,-112,1176,1182,V
0.672,36805,3406921,-104,-116,1464,1472,V
0.687,36806,3406941,-140,-220,1028,1061,V
0.719,36807,3406961,-216,-216,940,988,V
0.750,36808,3406982,-252,-80,1964,1982,V
0.750,36809,3407002,-296,-148,1032,1084,V
0.781,36810,3407022,-280,-108,1012,1056,V
0.812,36811,3407042,-268,-152,1012,1058,V
0.812,36812,3407063,-284,-152,908,963,V
0.844,36813,3407083,-284,-72,904,950,V
0.875,36814,3407103,-308,64,772,834,V
0.906,36815,3407123,-260,112,992,1032,V
0.906,36816,3407144,-216,68,1028,1053,V
0.922,36817,3407165,-228,40,996,1023,V
0.922,36818,3407184,-308,52,884,938,V
0.953,36819,3407205,-248,124,912,953,V
1.031,36820,3407225,-212,216,1084,1125,V
1.031,36821,3407245,-272,276,980,1054,V
1.031,36822,3407266,-152,56,1296,1306,V
1.031,36823,3407287,-308,180,1208,1260,V
1.062,36824,3407306,-240,40,1040,1068,V
1.094,36825,3407327,-280,140,984,1033,V
1.109,36826,3407347,-424,180,1036,1134,V
1.125,36827,3407367,-380,-28,1092,1157,V
1.172,36828,3407387,-356,-56,1188,1241,V
1.172,36829,3407408,-336,96,992,1052,V
1.203,36830,3407428,-344,236,1140,1214,V
1.234,36831,3407449,-444,152,1012,1116,V
1.234,36832,3407468,-460,-4,1004,1104,V
1.250,36833,3407489,-432,36,944,1039,V
