t_s,seq,capture_ms,x_mg,y_mg,z_mg,mag_mg,flags
0.000,32042,3310282,-120,280,1012,1057,VD
0.000,32043,3310302,-112,272,1024,1065,V
0.000,32044,3310323,-84,296,1036,1081,V
0.032,32045,3310343,-108,288,1008,1054,V
0.047,32046,3310363,-92,268,1020,1059,V
0.078,32047,3310383,-104,248,1020,1055,V
0.141,32048,3310403,-92,284,1004,1047,V
0.141,32049,3310424,-84,272,1040,1078,V
0.141,32050,3310444,-76,268,1048,1084,V
0.157,32051,3310464,-36,260,1044,1076,V
0.188,32052,3310485,-60,272,1020,1057,V
0.203,32053,3310505,-64,264,1028,1063,V
0.250,32054,3310525,-60,256,1048,1080,V
0.250,32055,3310545,-68,244,1056,1086,V
0.250,32056,3310566,-40,124,1116,1124,V
0.282,32057,3310586,-8,0,1188,1188,V
0.313,32058,3310607,68,-40,1388,1390,V
0.313,32059,3310627,324,424,1340,1442,V
0.344,32060,3310647,136,1640,1116,1988,V
0.360,32061,3310668,-152,2916,1384,3231,V
0.375,32062,3310687,-1844,4096,2464,5123,V
0.391,32063,3310708,-1008,4672,1288,4950,V
0.422,32064,3310729,-560,4380,-476,4441,V
0.438,32065,3310748,284,2448,-1580,2927,V
0.469,32066,3310769,1816,-264,-1056,2117,V
0.485,32067,3310789,1480,-2460,-2516,3817,V
0.500,32068,3310809,1528,-6068,-1568,6451,V
0.516,32069,3310829,-464,-7480,3336,8203,V
0.547,32070,3310850,-1796,-4228,2092,5048,V
0.547,32071,3310870,892,-2156,572,2402,V
0.578,32072,3310890,980,-1520,1232,2188,V
0.610,32073,3310911,1220,-1192,-168,1714,V
0.625,32074,3310931,888,-816,908,1510,V
0.641,32075,3310951,660,-348,388,841,V
0.657,32076,3310972,440,-148,556,724,V
0.672,32077,3310992,460,12,504,682,V
0.703,32078,3311012,444,112,868,981,V
0.719,32079,3311032,272,184,740,810,V
0.735,32080,3311053,60,392,544,673,V
0.766,32081,3311073,32,644,1000,1190,V
0.782,32082,3311093,228,780,572,994,V
0.828,32083,3311114,172,812,1204,1462,V
0.828,32084,3311134,204,632,1012,1210,V
0.844,32085,3311154,256,504,1228,1352,V
0.875,32086,3311174,172,704,1380,1559,V
0.891,32087,3311195,236,504,1152,1279,V
0.907,32088,3311215,236,324,1084,1156,V
0.953,32089,3311235,220,360,964,1052,V
0.953,32090,3311256,188,372,1076,1154,V
0.969,32091,3311276,212,256,1064,1115,V
1.000,32092,3311297,180,168,1208,1233,V
1.000,32093,3311316,116,236,1068,1100,V
1.032,32094,3311337,44,220,992,1017,V
1.047,32095,3311357,140,124,1180,1195,V
1.063,32096,3311377,124,136,1128,1143,V
1.094,32097,3311398,76,244,920,955,V
1.125,32098,3311418,88,260,1000,1037,V
1.188,32099,3311438,140,144,1124,1142,V
1.188,32100,3311458,140,220,1104,1134,V
1.188,32101,3311480,128,252,1072,1109,V
1.188,32102,3311499,140,256,1108,1146,V
1.219,32103,3311519,56,248,1124,1152,V
1.250,32104,3311540,-8,132,948,957,V
1.250,32105,3311560,36,40,1000,1001,V
1.282,32106,3311580,100,112,1056,1067,V
1.297,32107,3311601,92,268,1008,1047,V
1.297,32108,3311621,56,300,988,1034,V
1.344,32109,3311641,92,272,1116,1152,V
1.375,32110,3311661,120,208,1104,1130,V
1.375,32111,3311682,64,232,952,982,V
1.422,32112,3311702,28,280,932,974,V
1.422,32113,3311722,44,296,1060,1101,V
1.422,32114,3311743,64,252,1100,1130,V
1.469,32115,3311763,48,224,1004,1030,V
1.485,32116,3311784,32,268,940,978,V
1.485,32117,3311803,56,264,1072,1105,V
1.547,32118,3311824,20,244,1028,1057,V
1.547,32119,3311844,32,208,1032,1053,V
1.547,32120,3311864,28,228,1020,1046,V
1.578,32121,3311885,16,216,1044,1066,V
1.610,32122,3311905,-8,216,1036,1058,V
1.657,32123,3311925,-28,220,1052,1075,V
1.657,32124,3311945,-20,192,1028,1046,V
1.657,32125,3311966,-8,160,1028,1040,V
1.703,32126,3311987,-16,188,1056,1073,V
1.703,32127,3312006,20,248,1084,1112,V
1.735,32128,3312027,24,232,1044,1070,V
1.782,32129,3312048,28,208,992,1014,V
1.813,32130,3312067,28,200,1028,1048,V
1.813,32131,3312087,0,188,1044,1061,V
1.813,32132,3312108,20,156,1076,1087,V
1.828,32133,3312128,-8,168,1036,1050,V
1.844,32134,3312148,-40,160,1036,1049,V
1.907,32135,3312169,-4,136,1080,1089,V
1.907,32136,3312189,96,180,1132,1150,V
1.907,32137,3312209,284,328,1196,1272,V
1.969,32138,3312229,432,1036,1176,1626,V
1.969,32139,3312250,552,2092,1520,2644,V
1.969,32140,3312270,528,3740,1360,4014,V
2.016,32141,3312291,168,4184,-388,4205,V
2.016,32142,3312311,-4,4852,-1392,5048,V
2.016,32143,3312331,276,4664,-988,4775,V
2.063,32144,3312351,852,1436,-1636,2338,V
2.063,32145,3312372,2132,-2952,-756,3719,V
2.094,32146,3312392,4512,-7652,-536,8899,V
2.110,32147,3312412,-344,-8000,2580,8413,VS
2.110,32148,3312432,-2684,-5456,4900,7809,V
2.157,32149,3312453,1228,-4224,-468,4424,V
2.172,32150,3312473,3012,-1464,-1396,3628,V
2.172,32151,3312493,2304,-1400,676,2779,V
2.235,32152,3312514,548,-1884,224,1975,V
2.235,32153,3312534,560,-532,196,797,V
2.235,32154,3312554,608,632,168,893,V
2.266,32155,3312574,464,896,1128,1513,V
2.297,32156,3312595,200,620,1020,1210,V
2.297,32157,3312615,-356,504,-1276,1417,V
2.328,32158,3312635,348,1256,1220,1785,V
2.360,32159,3312656,440,1276,712,1526,V
2.391,32160,3312677,400,1100,1764,2117,V
2.391,32161,3312696,156,1072,1268,1668,V
2.422,32162,3312716,136,1112,300,1160,V
2.453,32163,3312738,216,768,848,1164,V
2.453,32164,3312757,152,724,1152,1369,V
2.485,32165,3312777,36,564,980,1131,V
2.516,32166,3312798,24,416,916,1006,V
2.516,32167,3312818,96,184,1092,1112,V
2.532,32168,3312838,128,280,1104,1146,V
2.594,32169,3312858,124,308,1000,1054,V
2.594,32170,3312879,72,304,928,979,V
2.594,32171,3312899,84,172,880,901,V
2.610,32172,3312919,116,164,1056,1075,V
2.657,32173,3312940,112,172,1032,1052,V
2.719,32174,3312960,112,196,872,901,V
2.719,32175,3312980,152,208,952,986,V
2.719,32176,3313001,164,248,1080,1120,V
2.719,32177,3313021,152,240,1008,1047,V
2.750,32178,3313041,124,244,936,975,V
2.750,32179,3313061,52,280,944,986,V
2.766,32180,3313082,40,248,976,1008,V
2.844,32181,3313102,36,180,1120,1135,V
2.844,32182,3313122,40,112,1060,1067,V
2.844,32183,3313143,12,176,1040,1055,V
2.875,32184,3313163,48,240,1108,1135,V
2.875,32185,3313183,44,196,1048,1067,V
2.891,32186,3313203,40,140,984,995,V
2.953,32187,3313224,36,196,1104,1122,V
2.953,32188,3313244,36,224,1148,1170,V
2.953,32189,3313264,12,176,1140,1154,V
2.985,32190,3313285,-8,172,1004,1019,V
3.016,32191,3313305,4,172,936,952,V
3.016,32192,3313325,-4,184,1004,1021,V
3.078,32193,3313345,24,212,1120,1140,V
3.078,32194,3313366,48,208,1120,1140,V
3.078,32195,3313386,-4,208,1040,1061,V
3.110,32196,3313406,16,196,1064,1082,V
3.141,32197,3313428,20,224,1020,1044,V
3.141,32198,3313447,36,216,1036,1059,V
3.188,32199,3313467,16,228,1044,1069,V
3.188,32200,3313487,0,216,1080,1101,V
3.188,32201,3313508,-8,216,1024,1047,V
3.235,32202,3313528,12,200,984,1004,V
3.266,32203,3313548,0,240,992,1021,V
3.266,32204,3313569,0,216,1044,1066,V
3.313,32205,3313589,-8,196,1056,1074,V
3.313,32206,3313609,-24,236,1044,1071,V
3.328,32207,3313629,8,220,1068,1090,V
3.328,32208,3313650,-8,224,1036,1060,V
3.375,32209,3313670,8,200,1032,1051,V
3.375,32210,3313690,-8,224,1028,1052,V
3.438,32211,3313711,-4,232,1076,1101,V
3.438,32212,3313732,-8,228,1044,1069,V
3.438,32213,3313751,-24,184,1012,1029,V
3.500,32214,3313772,-12,208,996,1018,V
3.500,32215,3313792,16,260,1004,1037,V
3.500,32216,3313812,32,268,1032,1067,V
3.563,32217,3313832,20,236,1040,1067,V
3.563,32218,3313853,40,216,1040,1063,V
3.563,32219,3313873,-8,240,1024,1052,V
3.594,32220,3313893,-20,240,1080,1107,V
3.610,32221,3313914,4,228,1108,1131,V
3.610,32222,3313934,-40,208,1112,1132,V
3.672,32223,3313954,-40,184,1088,1104,V
3.672,32224,3313974,-12,200,1100,1118,V
3.672,32225,3313995,80,240,1104,1133,V
3.703,32226,3314015,168,636,1152,1327,V
3.735,32227,3314035,104,1436,1400,2008,V
3.797,32228,3314056,112,2192,1432,2621,V
3.828,32229,3314076,112,3296,300,3312,V
3.828,32230,3314096,112,4124,1208,4299,V
3.828,32231,3314117,368,4136,-64,4153,V
3.828,32232,3314137,912,3080,-1020,3370,V
3.844,32233,3314157,1400,860,-888,1868,V
3.922,32234,3314178,1000,-1004,-1448,2026,V
3.922,32235,3314198,216,-3984,-544,4027,V
